Date,Customer,Vch_No,Amount,Entity_Mean,Expected_Low,Expected_High,Deviation_%,Flag_Type,FY,Txn_Type
2025-11-26,J. C Packaging,CPI/814/25-26,12771.0,6705.0,1062.0,11715.0,90.5,HIGH — unusually large,2025-26,Sale
2025-04-21,J. C Packaging,CPI/059/25-26,12686.0,6705.0,1062.0,11715.0,89.2,HIGH — unusually large,2025-26,Sale
2026-03-14,J. C Packaging,CPI/1118/25-26,12625.0,6705.0,1062.0,11715.0,88.3,HIGH — unusually large,2025-26,Sale
2024-06-08,J. C Packaging,CPI/169/24-25,12251.0,6705.0,1062.0,11715.0,82.7,HIGH — unusually large,2024-25,Sale
2026-02-11,J. C Packaging,CPI/1019/25-26,11842.0,6705.0,1062.0,11715.0,76.6,HIGH — unusually large,2025-26,Sale
2024-05-14,CHRISTI TRADERS,CPI/100/24-25,75225.0,65984.0,60255.0,74295.0,14.0,HIGH — unusually large,2024-25,Sale
2025-11-07,CHRISTI TRADERS,CPI/770/25-26,46020.0,65984.0,60255.0,74295.0,-30.3,LOW — unusually small,2025-26,Sale
2025-03-18,Genuine Biosystem Pvt Ltd.,CPI/988/24-25,19656.0,50612.0,21034.0,75904.0,-61.2,LOW — unusually small,2024-25,Sale
2025-11-05,Genuine Biosystem Pvt Ltd.,CPI/761/25-26,16471.0,50612.0,21034.0,75904.0,-67.5,LOW — unusually small,2025-26,Sale
2024-11-09,SURYA ENTERPRISES,CPI/592/24-25,3920.0,20750.0,5130.0,39252.0,-81.1,LOW — unusually small,2024-25,Sale
2024-05-28,Genuine Biosystem Pvt Ltd.,CPI/138/24-25,8737.0,50612.0,21034.0,75904.0,-82.7,LOW — unusually small,2024-25,Sale
2025-06-12,WITZENMANN INDIA PRIVATE LIMITED,CPI/262/25-26,8499.0,65802.0,10844.0,122617.0,-87.1,LOW — unusually small,2025-26,Sale
